iter	Passed	Remaining
437	1361	1747
438	1363	1742
439	1365	1737
440	1367	1733
441	1369	1729
442	1371	1724
443	1373	1720
444	1375	1715
445	1378	1711
446	1380	1707
447	1382	1703
448	1386	1700
449	1388	1697
450	1390	1693
451	1392	1688
452	1394	1684
453	1396	1679
454	1399	1675
455	1401	1671
456	1402	1666
457	1404	1662
458	1406	1657
459	1408	1653
460	1410	1649
461	1413	1646
462	1415	1642
463	1418	1638
464	1419	1633
465	1422	1629
466	1424	1625
467	1426	1622
468	1429	1618
469	1432	1615
470	1434	1611
471	1436	1606
472	1438	1602
473	1440	1598
474	1442	1594
475	1444	1590
476	1446	1586
477	1448	1582
478	1451	1578
479	1453	1574
480	1455	1570
481	1457	1566
482	1460	1562
483	1462	1558
484	1464	1554
485	1466	1550
486	1468	1546
487	1470	1542
488	1473	1539
489	1475	1536
490	1478	1532
491	1480	1528
492	1482	1524
493	1485	1521
494	1488	1518
495	1492	1516
496	1494	1512
497	1496	1508
498	1499	1505
499	1501	1501
500	1504	1498
501	1506	1494
502	1508	1490
503	1510	1486
504	1513	1483
505	1515	1479
506	1518	1476
507	1520	1472
508	1522	1468
509	1525	1465
510	1526	1461
511	1529	1457
512	1531	1453
513	1533	1450
514	1535	1446
515	1537	1442
516	1539	1438
517	1541	1434
518	1544	1431
519	1547	1428
520	1550	1425
521	1552	1421
522	1554	1417
523	1556	1413
524	1558	1410
525	1560	1406
526	1564	1404
527	1567	1400
528	1569	1397
529	1571	1393
530	1573	1389
531	1575	1385
532	1577	1382
533	1580	1379
534	1582	1375
535	1584	1371
536	1586	1367
537	1588	1364
538	1590	1360
539	1593	1357
540	1595	1353
541	1597	1349
542	1599	1346
543	1601	1342
544	1603	1338
545	1606	1335
546	1608	1332
547	1611	1329
548	1613	1325
549	1615	1321
550	1617	1317
551	1619	1314
552	1621	1310
553	1645	1324
554	1658	1329
555	1684	1345
556	1688	1342
557	1690	1339
558	1694	1336
559	1697	1333
560	1703	1332
561	1708	1331
562	1714	1330
563	1720	1330
564	1726	1329
565	1729	1326
566	1734	1324
567	1740	1323
568	1749	1325
569	1762	1329
570	1767	1328
571	1770	1324
572	1777	1324
573	1831	1359
574	1835	1356
575	1838	1353
576	1843	1351
577	1849	1350
578	1852	1346
579	1854	1342
580	1856	1339
581	1859	1335
582	1862	1331
583	1865	1328
584	1867	1324
585	1871	1322
586	1911	1345
587	1925	1348
588	1931	1348
589	1934	1344
590	1962	1358
591	1966	1355
592	1971	1353
593	1974	1349
594	1982	1349
595	1985	1346
596	1989	1342
597	1993	1339
598	1997	1336
599	2001	1334
600	2005	1331
601	2008	1328
602	2020	1330
603	2023	1326
604	2027	1323
605	2033	1322
606	2036	1318
607	2038	1314
608	2041	1310
609	2043	1306
610	2046	1303
611	2049	1299
612	2051	1295
613	2054	1291
614	2057	1287
615	2059	1284
616	2067	1283
617	2071	1280
618	2073	1276
619	2076	1272
620	2078	1268
621	2080	1264
622	2082	1260
623	2086	1257
624	2088	1253
625	2091	1249
626	2094	1245
627	2096	1241
628	2098	1237
629	2101	1233
630	2103	1230
631	2106	1226
632	2108	1222
633	2111	1218
634	2114	1215
635	2116	1211
636	2119	1207
637	2121	1203
638	2124	1200
639	2126	1196
640	2128	1192
641	2131	1188
642	2133	1184
643	2135	1180
644	2138	1176
645	2140	1173
646	2142	1169
647	2144	1165
648	2146	1161
649	2148	1157
650	2151	1153
651	2153	1149
652	2156	1145
653	2158	1141
654	2160	1137
655	2164	1135
656	2168	1131
657	2170	1128
658	2172	1124
659	2174	1120
660	2176	1116
661	2178	1112
662	2181	1108
663	2185	1105
664	2187	1101
665	2189	1097
666	2191	1094
667	2193	1090
668	2196	1086
669	2198	1082
670	2200	1079
671	2202	1075
672	2204	1071
673	2206	1067
674	2209	1063
675	2215	1061
676	2217	1058
677	2221	1055
678	2224	1051
679	2226	1047
680	2229	1044
681	2231	1040
682	2233	1036
683	2236	1033
684	2238	1029
685	2240	1025
686	2242	1021
687	2245	1018
688	2248	1014
689	2250	1011
690	2253	1007
691	2256	1004
692	2259	1001
693	2262	997
694	2265	994
695	2268	991
696	2271	987
697	2274	984
698	2277	980
699	2280	977
700	2285	974
701	2288	971
702	2290	967
703	2293	964
704	2296	961
705	2302	958
706	2308	956
707	2311	953
708	2316	950
709	2319	947
710	2322	943
711	2324	940
712	2327	937
713	2331	933
714	2335	930
715	2338	927
716	2342	924
717	2347	922
718	2352	919
719	2357	916
720	2360	913
721	2365	910
722	2367	907
723	2370	903
724	2375	900
725	2380	898
726	2388	896
727	2390	893
728	2393	889
729	2396	886
730	2398	882
731	2400	878
732	2402	875
733	2404	871
734	2405	867
735	2408	863
736	2410	860
737	2413	856
738	2415	853
739	2417	849
740	2419	845
741	2421	841
742	2423	838
743	2426	834
744	2428	831
745	2431	827
746	2434	824
747	2439	821
748	2443	818
749	2445	815
750	2448	811
751	2451	808
752	2460	807
753	2462	803
754	2464	799
755	2467	796
756	2473	794
757	2476	790
758	2478	787
759	2482	783
760	2487	781
761	2490	777
762	2492	774
763	2494	770
764	2496	766
765	2499	763
766	2502	760
767	2505	756
768	2508	753
769	2511	750
770	2513	746
771	2515	743
772	2518	739
773	2520	735
774	2522	732
775	2524	728
776	2526	725
777	2529	721
778	2532	718
779	2534	714
780	2537	711
781	2539	707
782	2541	704
783	2544	700
784	2547	697
785	2549	694
786	2551	690
787	2553	687
788	2555	683
789	2557	679
790	2559	676
791	2562	673
792	2565	669
793	2566	665
794	2569	662
795	2571	658
796	2573	655
797	2576	652
798	2578	648
799	2580	645
800	2582	641
801	2584	638
802	2586	634
803	2589	631
804	2591	627
805	2593	624
806	2597	621
807	2599	617
808	2601	614
809	2604	610
810	2607	607
811	2609	604
812	2612	600
813	2614	597
814	2616	593
815	2619	590
816	2621	587
817	2623	583
818	2626	580
819	2628	577
820	2631	573
821	2634	570
822	2636	567
823	2639	563
824	2644	560
825	2648	557
826	2651	554
827	2654	551
828	2656	548
829	2658	544
830	2660	541
831	2662	537
832	2664	534
833	2667	530
834	2669	527
835	2671	524
836	2673	520
837	2675	517
838	2676	513
839	2679	510
840	2682	507
841	2684	503
842	2686	500
843	2688	496
844	2689	493
845	2691	489
846	2693	486
847	2696	483
848	2698	479
849	2700	476
850	2702	473
851	2705	469
852	2707	466
853	2709	463
854	2711	459
855	2713	456
856	2715	453
857	2717	449
858	2719	446
859	2722	443
860	2724	439
861	2727	436
862	2728	433
863	2731	429
864	2733	426
865	2735	423
866	2738	420
867	2741	416
868	2743	413
869	2745	410
870	2747	406
871	2749	403
872	2751	400
873	2753	397
874	2756	393
875	2758	390
876	2761	387
877	2763	383
878	2765	380
879	2768	377
880	2770	374
881	2773	371
882	2776	367
883	2778	364
884	2780	361
885	2783	358
886	2785	354
887	2789	351
888	2795	349
889	2798	345
890	2801	342
891	2803	339
892	2805	336
893	2807	332
894	2811	329
895	2816	326
896	2818	323
897	2821	320
898	2843	319
899	2860	317
900	2875	315
901	2878	312
902	2883	309
903	2887	306
904	2906	305
905	2910	301
906	2912	298
907	2915	295
908	2918	292
909	2921	288
910	2923	285
911	2926	282
912	2929	279
913	2931	275
914	2934	272
915	2937	269
916	2940	266
917	2942	262
918	2945	259
919	2947	256
920	2950	253
921	2952	249
922	2955	246
923	2957	243
924	2959	239
925	2962	236
926	2964	233
927	2967	230
928	2969	226
929	2972	223
930	2974	220
931	2976	217
932	2978	213
933	2981	210
934	2984	207
935	2986	204
936	2988	200
937	2990	197
938	2993	194
939	2995	191
940	2999	188
941	3001	184
942	3003	181
943	3006	178
944	3008	175
945	3011	171
946	3023	169
947	3025	165
948	3027	162
949	3029	159
950	3032	156
951	3034	153
952	3037	149
953	3039	146
954	3041	143
955	3044	140
956	3046	136
957	3048	133
958	3050	130
959	3052	127
960	3054	123
961	3056	120
962	3058	117
963	3061	114
964	3063	111
965	3065	107
966	3067	104
967	3069	101
968	3071	98
969	3074	95
970	3076	91
971	3078	88
972	3082	85
973	3084	82
974	3087	79
975	3089	75
976	3091	72
977	3094	69
978	3097	66
979	3099	63
980	3101	60
981	3103	56
982	3106	53
983	3108	50
984	3110	47
985	3112	44
986	3114	41
987	3117	37
988	3119	34
989	3121	31
990	3124	28
991	3126	25
992	3128	22
993	3130	18
994	3133	15
995	3135	12
996	3138	9
997	3140	6
998	3142	3
999	3144	0
